index,model,emotion,file,similarity
1058,a2,happy,/srv/RL_project/repo/outputs/wav/001058_a2_happy.wav,0.5627610087394714
1059,a2,neutral,/srv/RL_project/repo/outputs/wav/001059_a2_neutral.wav,0.5778903365135193
1060,a2,angry,/srv/RL_project/repo/outputs/wav/001060_a2_angry.wav,0.614357590675354
1061,a2,happy,/srv/RL_project/repo/outputs/wav/001061_a2_happy.wav,0.5765020847320557
1062,a2,fearful,/srv/RL_project/repo/outputs/wav/001062_a2_fearful.wav,0.6813912391662598
1063,a2,sad,/srv/RL_project/repo/outputs/wav/001063_a2_sad.wav,0.6029440760612488
1064,a2,sad,/srv/RL_project/repo/outputs/wav/001064_a2_sad.wav,0.6402105093002319
1065,a2,happy,/srv/RL_project/repo/outputs/wav/001065_a2_happy.wav,0.5956264734268188
1066,a2,angry,/srv/RL_project/repo/outputs/wav/001066_a2_angry.wav,0.2583101987838745
1067,a2,sad,/srv/RL_project/repo/outputs/wav/001067_a2_sad.wav,0.5685046315193176
1068,a2,disgusted,/srv/RL_project/repo/outputs/wav/001068_a2_disgusted.wav,0.6407383680343628
1069,a2,neutral,/srv/RL_project/repo/outputs/wav/001069_a2_neutral.wav,0.28266289830207825
1070,a2,surprised,/srv/RL_project/repo/outputs/wav/001070_a2_surprised.wav,0.6175293326377869
1071,a2,fearful,/srv/RL_project/repo/outputs/wav/001071_a2_fearful.wav,0.6227813363075256
1072,a2,happy,/srv/RL_project/repo/outputs/wav/001072_a2_happy.wav,0.6222657561302185
1073,a2,sad,/srv/RL_project/repo/outputs/wav/001073_a2_sad.wav,0.5466364622116089
1074,a2,surprised,/srv/RL_project/repo/outputs/wav/001074_a2_surprised.wav,0.5279879570007324
1075,a2,sad,/srv/RL_project/repo/outputs/wav/001075_a2_sad.wav,0.6003051400184631
1076,a2,disgusted,/srv/RL_project/repo/outputs/wav/001076_a2_disgusted.wav,0.31200462579727173
1077,a2,fearful,/srv/RL_project/repo/outputs/wav/001077_a2_fearful.wav,0.6238389015197754
1078,a2,happy,/srv/RL_project/repo/outputs/wav/001078_a2_happy.wav,0.6304827928543091
1079,a2,sad,/srv/RL_project/repo/outputs/wav/001079_a2_sad.wav,0.630979597568512
1080,a2,angry,/srv/RL_project/repo/outputs/wav/001080_a2_angry.wav,0.3497738838195801
1081,a2,surprised,/srv/RL_project/repo/outputs/wav/001081_a2_surprised.wav,0.5789757370948792
1082,a2,fearful,/srv/RL_project/repo/outputs/wav/001082_a2_fearful.wav,0.6062015295028687
1083,a2,surprised,/srv/RL_project/repo/outputs/wav/001083_a2_surprised.wav,0.6270612478256226
1084,a2,surprised,/srv/RL_project/repo/outputs/wav/001084_a2_surprised.wav,0.6804453134536743
1085,a2,sad,/srv/RL_project/repo/outputs/wav/001085_a2_sad.wav,0.5802571177482605
1086,a2,fearful,/srv/RL_project/repo/outputs/wav/001086_a2_fearful.wav,0.5541666150093079
1087,a2,angry,/srv/RL_project/repo/outputs/wav/001087_a2_angry.wav,0.6392331123352051
1088,a2,sad,/srv/RL_project/repo/outputs/wav/001088_a2_sad.wav,0.5342054963111877
1089,a2,disgusted,/srv/RL_project/repo/outputs/wav/001089_a2_disgusted.wav,0.628311038017273
1090,a2,angry,/srv/RL_project/repo/outputs/wav/001090_a2_angry.wav,0.31165581941604614
1091,a2,sad,/srv/RL_project/repo/outputs/wav/001091_a2_sad.wav,0.670716404914856
1092,a2,angry,/srv/RL_project/repo/outputs/wav/001092_a2_angry.wav,0.5197360515594482
1093,a2,angry,/srv/RL_project/repo/outputs/wav/001093_a2_angry.wav,0.45577728748321533
1094,a2,fearful,/srv/RL_project/repo/outputs/wav/001094_a2_fearful.wav,0.591874361038208
1095,a2,surprised,/srv/RL_project/repo/outputs/wav/001095_a2_surprised.wav,0.6106415390968323
1096,a2,sad,/srv/RL_project/repo/outputs/wav/001096_a2_sad.wav,0.6077938675880432
1097,a2,disgusted,/srv/RL_project/repo/outputs/wav/001097_a2_disgusted.wav,0.5461650490760803
1098,a2,disgusted,/srv/RL_project/repo/outputs/wav/001098_a2_disgusted.wav,0.6892160773277283
1099,a2,fearful,/srv/RL_project/repo/outputs/wav/001099_a2_fearful.wav,0.5332078337669373
1100,a2,angry,/srv/RL_project/repo/outputs/wav/001100_a2_angry.wav,0.5976298451423645
1101,a2,fearful,/srv/RL_project/repo/outputs/wav/001101_a2_fearful.wav,0.32824668288230896
1102,a2,angry,/srv/RL_project/repo/outputs/wav/001102_a2_angry.wav,0.6694827675819397
1103,a2,fearful,/srv/RL_project/repo/outputs/wav/001103_a2_fearful.wav,0.5694823861122131
1104,a2,disgusted,/srv/RL_project/repo/outputs/wav/001104_a2_disgusted.wav,0.7308844923973083
1105,a2,angry,/srv/RL_project/repo/outputs/wav/001105_a2_angry.wav,0.6229645609855652
1106,a2,surprised,/srv/RL_project/repo/outputs/wav/001106_a2_surprised.wav,0.5461784601211548
1107,a2,sad,/srv/RL_project/repo/outputs/wav/001107_a2_sad.wav,0.6448698043823242
1108,a2,neutral,/srv/RL_project/repo/outputs/wav/001108_a2_neutral.wav,0.6655749082565308
1109,a2,surprised,/srv/RL_project/repo/outputs/wav/001109_a2_surprised.wav,0.677511990070343
1110,a2,fearful,/srv/RL_project/repo/outputs/wav/001110_a2_fearful.wav,0.564812183380127
1111,a2,sad,/srv/RL_project/repo/outputs/wav/001111_a2_sad.wav,0.5792354941368103
1112,a2,angry,/srv/RL_project/repo/outputs/wav/001112_a2_angry.wav,0.6345919966697693
1113,a2,fearful,/srv/RL_project/repo/outputs/wav/001113_a2_fearful.wav,0.6143867373466492
1114,a2,disgusted,/srv/RL_project/repo/outputs/wav/001114_a2_disgusted.wav,0.6320619583129883
1115,a2,neutral,/srv/RL_project/repo/outputs/wav/001115_a2_neutral.wav,0.6209298372268677
1116,a2,fearful,/srv/RL_project/repo/outputs/wav/001116_a2_fearful.wav,0.2751438021659851
1117,a2,fearful,/srv/RL_project/repo/outputs/wav/001117_a2_fearful.wav,0.6495454907417297
1118,a2,surprised,/srv/RL_project/repo/outputs/wav/001118_a2_surprised.wav,0.7074940204620361
1119,a2,surprised,/srv/RL_project/repo/outputs/wav/001119_a2_surprised.wav,0.6289830207824707
1120,a2,surprised,/srv/RL_project/repo/outputs/wav/001120_a2_surprised.wav,0.588391900062561
1121,a2,disgusted,/srv/RL_project/repo/outputs/wav/001121_a2_disgusted.wav,0.5979934930801392
1122,a2,disgusted,/srv/RL_project/repo/outputs/wav/001122_a2_disgusted.wav,0.5203153491020203
1123,a2,neutral,/srv/RL_project/repo/outputs/wav/001123_a2_neutral.wav,0.5955623984336853
1124,a2,fearful,/srv/RL_project/repo/outputs/wav/001124_a2_fearful.wav,0.5861420631408691
1125,a2,fearful,/srv/RL_project/repo/outputs/wav/001125_a2_fearful.wav,0.5968009829521179
1126,a2,sad,/srv/RL_project/repo/outputs/wav/001126_a2_sad.wav,0.6684805154800415
1127,a2,neutral,/srv/RL_project/repo/outputs/wav/001127_a2_neutral.wav,0.5705631971359253
1128,a2,angry,/srv/RL_project/repo/outputs/wav/001128_a2_angry.wav,0.6601624488830566
1129,a2,sad,/srv/RL_project/repo/outputs/wav/001129_a2_sad.wav,0.5602351427078247
1130,a2,fearful,/srv/RL_project/repo/outputs/wav/001130_a2_fearful.wav,0.6386684775352478
1131,a2,angry,/srv/RL_project/repo/outputs/wav/001131_a2_angry.wav,0.49466556310653687
1132,a2,surprised,/srv/RL_project/repo/outputs/wav/001132_a2_surprised.wav,0.45740723609924316
1133,a2,angry,/srv/RL_project/repo/outputs/wav/001133_a2_angry.wav,0.6073246598243713
1134,a2,happy,/srv/RL_project/repo/outputs/wav/001134_a2_happy.wav,0.6327680349349976
1135,a2,neutral,/srv/RL_project/repo/outputs/wav/001135_a2_neutral.wav,0.6439908742904663
1136,a2,neutral,/srv/RL_project/repo/outputs/wav/001136_a2_neutral.wav,0.49672478437423706
1137,a2,fearful,/srv/RL_project/repo/outputs/wav/001137_a2_fearful.wav,0.6149021983146667
1138,a2,fearful,/srv/RL_project/repo/outputs/wav/001138_a2_fearful.wav,0.5916882753372192
1139,a2,sad,/srv/RL_project/repo/outputs/wav/001139_a2_sad.wav,0.6264969706535339
1140,a2,surprised,/srv/RL_project/repo/outputs/wav/001140_a2_surprised.wav,0.621746301651001
1141,a2,fearful,/srv/RL_project/repo/outputs/wav/001141_a2_fearful.wav,0.646423876285553
1142,a2,disgusted,/srv/RL_project/repo/outputs/wav/001142_a2_disgusted.wav,0.6772643327713013
1143,a2,surprised,/srv/RL_project/repo/outputs/wav/001143_a2_surprised.wav,0.5839821100234985
1144,a2,sad,/srv/RL_project/repo/outputs/wav/001144_a2_sad.wav,0.5843175053596497
1145,a2,fearful,/srv/RL_project/repo/outputs/wav/001145_a2_fearful.wav,0.5274633765220642
1146,a2,fearful,/srv/RL_project/repo/outputs/wav/001146_a2_fearful.wav,0.5960711240768433
1147,a2,happy,/srv/RL_project/repo/outputs/wav/001147_a2_happy.wav,0.6022090911865234
1148,a2,happy,/srv/RL_project/repo/outputs/wav/001148_a2_happy.wav,0.6038072109222412
1149,a2,fearful,/srv/RL_project/repo/outputs/wav/001149_a2_fearful.wav,0.6561976671218872
1150,a2,neutral,/srv/RL_project/repo/outputs/wav/001150_a2_neutral.wav,0.5185203552246094
1151,a2,angry,/srv/RL_project/repo/outputs/wav/001151_a2_angry.wav,0.6303839683532715
1152,a2,neutral,/srv/RL_project/repo/outputs/wav/001152_a2_neutral.wav,0.6179723739624023
1153,a2,happy,/srv/RL_project/repo/outputs/wav/001153_a2_happy.wav,0.6306085586547852
1154,a2,happy,/srv/RL_project/repo/outputs/wav/001154_a2_happy.wav,0.5579363703727722
1155,a2,angry,/srv/RL_project/repo/outputs/wav/001155_a2_angry.wav,0.6367765665054321
1156,a2,happy,/srv/RL_project/repo/outputs/wav/001156_a2_happy.wav,0.46352991461753845
1157,a2,sad,/srv/RL_project/repo/outputs/wav/001157_a2_sad.wav,0.6078259348869324
1158,a2,disgusted,/srv/RL_project/repo/outputs/wav/001158_a2_disgusted.wav,0.6911737322807312
1159,a2,happy,/srv/RL_project/repo/outputs/wav/001159_a2_happy.wav,0.6137272715568542
1160,a2,sad,/srv/RL_project/repo/outputs/wav/001160_a2_sad.wav,0.6234620809555054
1161,a2,angry,/srv/RL_project/repo/outputs/wav/001161_a2_angry.wav,0.6152721643447876
1162,a2,fearful,/srv/RL_project/repo/outputs/wav/001162_a2_fearful.wav,0.5910946726799011
1163,a2,happy,/srv/RL_project/repo/outputs/wav/001163_a2_happy.wav,0.6449887156486511
1164,a2,neutral,/srv/RL_project/repo/outputs/wav/001164_a2_neutral.wav,0.5226338505744934
1165,a2,happy,/srv/RL_project/repo/outputs/wav/001165_a2_happy.wav,0.6823744177818298
1166,a2,neutral,/srv/RL_project/repo/outputs/wav/001166_a2_neutral.wav,0.5800192356109619
1167,a2,angry,/srv/RL_project/repo/outputs/wav/001167_a2_angry.wav,0.5789861679077148
1168,a2,happy,/srv/RL_project/repo/outputs/wav/001168_a2_happy.wav,0.5606182217597961
1169,a2,fearful,/srv/RL_project/repo/outputs/wav/001169_a2_fearful.wav,0.5756742358207703
1170,a2,disgusted,/srv/RL_project/repo/outputs/wav/001170_a2_disgusted.wav,0.6681691408157349
1171,a2,happy,/srv/RL_project/repo/outputs/wav/001171_a2_happy.wav,0.6284388303756714
1172,a2,fearful,/srv/RL_project/repo/outputs/wav/001172_a2_fearful.wav,0.5971713662147522
1173,a2,neutral,/srv/RL_project/repo/outputs/wav/001173_a2_neutral.wav,0.6385219097137451
1174,a2,surprised,/srv/RL_project/repo/outputs/wav/001174_a2_surprised.wav,0.5430682301521301
1175,a2,happy,/srv/RL_project/repo/outputs/wav/001175_a2_happy.wav,0.6212514638900757
1176,a2,fearful,/srv/RL_project/repo/outputs/wav/001176_a2_fearful.wav,0.5819990634918213
1177,a2,angry,/srv/RL_project/repo/outputs/wav/001177_a2_angry.wav,0.6184501051902771
1178,a2,disgusted,/srv/RL_project/repo/outputs/wav/001178_a2_disgusted.wav,0.6230306029319763
1179,a2,neutral,/srv/RL_project/repo/outputs/wav/001179_a2_neutral.wav,0.51882404088974
1180,a2,fearful,/srv/RL_project/repo/outputs/wav/001180_a2_fearful.wav,0.6282836198806763
1181,a2,neutral,/srv/RL_project/repo/outputs/wav/001181_a2_neutral.wav,0.5942098498344421
1182,a2,fearful,/srv/RL_project/repo/outputs/wav/001182_a2_fearful.wav,0.5963771939277649
1183,a2,disgusted,/srv/RL_project/repo/outputs/wav/001183_a2_disgusted.wav,0.5885623097419739
1184,a2,angry,/srv/RL_project/repo/outputs/wav/001184_a2_angry.wav,0.7206078767776489
1185,a2,neutral,/srv/RL_project/repo/outputs/wav/001185_a2_neutral.wav,0.6289864182472229
1186,a2,angry,/srv/RL_project/repo/outputs/wav/001186_a2_angry.wav,0.6274203658103943
1187,a2,disgusted,/srv/RL_project/repo/outputs/wav/001187_a2_disgusted.wav,0.5184958577156067
1188,a2,sad,/srv/RL_project/repo/outputs/wav/001188_a2_sad.wav,0.6361773014068604
1189,a2,sad,/srv/RL_project/repo/outputs/wav/001189_a2_sad.wav,0.5626842975616455
1190,a2,sad,/srv/RL_project/repo/outputs/wav/001190_a2_sad.wav,0.5699729919433594
1191,a2,happy,/srv/RL_project/repo/outputs/wav/001191_a2_happy.wav,0.6268953084945679
1192,a2,happy,/srv/RL_project/repo/outputs/wav/001192_a2_happy.wav,0.5759909152984619
1193,a2,angry,/srv/RL_project/repo/outputs/wav/001193_a2_angry.wav,0.4883213937282562
1194,a2,disgusted,/srv/RL_project/repo/outputs/wav/001194_a2_disgusted.wav,0.6155269742012024
1195,a2,happy,/srv/RL_project/repo/outputs/wav/001195_a2_happy.wav,0.6228528022766113
1196,a2,neutral,/srv/RL_project/repo/outputs/wav/001196_a2_neutral.wav,0.6604597568511963
1197,a2,disgusted,/srv/RL_project/repo/outputs/wav/001197_a2_disgusted.wav,0.2223597913980484
1198,a2,fearful,/srv/RL_project/repo/outputs/wav/001198_a2_fearful.wav,0.3350302577018738
1199,a2,neutral,/srv/RL_project/repo/outputs/wav/001199_a2_neutral.wav,0.598994255065918
1200,a2,happy,/srv/RL_project/repo/outputs/wav/001200_a2_happy.wav,0.5867323875427246
1201,a2,sad,/srv/RL_project/repo/outputs/wav/001201_a2_sad.wav,0.2838629186153412
1202,a2,fearful,/srv/RL_project/repo/outputs/wav/001202_a2_fearful.wav,0.66875159740448
1203,a2,surprised,/srv/RL_project/repo/outputs/wav/001203_a2_surprised.wav,0.6577388048171997
1204,a2,angry,/srv/RL_project/repo/outputs/wav/001204_a2_angry.wav,0.5900807976722717
1205,a2,angry,/srv/RL_project/repo/outputs/wav/001205_a2_angry.wav,0.28853467106819153
1206,a2,happy,/srv/RL_project/repo/outputs/wav/001206_a2_happy.wav,0.6153688430786133
1207,a2,disgusted,/srv/RL_project/repo/outputs/wav/001207_a2_disgusted.wav,0.6612066030502319
1208,a2,disgusted,/srv/RL_project/repo/outputs/wav/001208_a2_disgusted.wav,0.6583666801452637
1209,a2,sad,/srv/RL_project/repo/outputs/wav/001209_a2_sad.wav,0.6588982343673706
1210,a2,fearful,/srv/RL_project/repo/outputs/wav/001210_a2_fearful.wav,0.6101067662239075
1211,a2,happy,/srv/RL_project/repo/outputs/wav/001211_a2_happy.wav,0.331525593996048
1212,a2,neutral,/srv/RL_project/repo/outputs/wav/001212_a2_neutral.wav,0.6728421449661255
1213,a2,surprised,/srv/RL_project/repo/outputs/wav/001213_a2_surprised.wav,0.6201447248458862
1214,a2,surprised,/srv/RL_project/repo/outputs/wav/001214_a2_surprised.wav,0.7049903869628906
1215,a2,fearful,/srv/RL_project/repo/outputs/wav/001215_a2_fearful.wav,0.23237314820289612
1216,a2,disgusted,/srv/RL_project/repo/outputs/wav/001216_a2_disgusted.wav,0.5736707448959351
1217,a2,disgusted,/srv/RL_project/repo/outputs/wav/001217_a2_disgusted.wav,0.6427456140518188
1218,a2,happy,/srv/RL_project/repo/outputs/wav/001218_a2_happy.wav,0.6764464974403381
1219,a2,surprised,/srv/RL_project/repo/outputs/wav/001219_a2_surprised.wav,0.6482030153274536
1220,a2,fearful,/srv/RL_project/repo/outputs/wav/001220_a2_fearful.wav,0.248316690325737
1221,a2,fearful,/srv/RL_project/repo/outputs/wav/001221_a2_fearful.wav,0.23546327650547028
1222,a2,sad,/srv/RL_project/repo/outputs/wav/001222_a2_sad.wav,0.3340163826942444
